,NAME,G,GS,MP,FG,FGA,FG_pct,P3,PA3,P3_pct,P2,PA2,P2_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,futPTS
275,Winston Garland,75.0,53.33333333333334,29.23333333333333,4.633333333333334,10.833333333333336,0.4246666666666667,0.16666666666666666,0.5333333333333333,0.2996666666666667,4.5,10.3,0.4306666666666667,0.4326666666666667,2.0,2.333333333333333,0.8413333333333334,0.9666666666666668,2.466666666666667,3.4333333333333336,5.533333333333334,1.6333333333333335,0.13333333333333333,2.3000000000000003,2.466666666666667,11.4,1.7666666666666666
276,Bill Garnett,73.33333333333333,20.0,18.4,2.1333333333333333,4.266666666666667,0.4953333333333333,0.0,0.0,0.0,2.1333333333333333,4.2,0.499,0.4953333333333333,1.7,2.4,0.7213333333333333,1.6333333333333335,3.0,4.633333333333334,1.3333333333333333,0.5333333333333333,0.6333333333333334,1.1333333333333333,3.0,5.933333333333333,1.4333333333333331
277,Kevin Garnett,79.66666666666667,67.33333333333333,35.63333333333333,6.433333333333334,13.1,0.4936666666666666,0.06666666666666668,0.3,0.2533333333333333,6.4,12.8,0.499,0.4970000000000001,2.333333333333333,3.1333333333333333,0.7323333333333334,2.466666666666667,5.533333333333334,7.966666666666666,3.0333333333333337,1.4,1.8333333333333333,2.0,2.566666666666667,15.3,6.933333333333334
278,Calvin Garrett,41.66666666666666,7.333333333333332,16.233333333333334,1.9333333333333336,4.466666666666668,0.41700000000000004,0.03333333333333333,0.16666666666666666,0.21100000000000002,1.9,4.3,0.43133333333333335,0.4193333333333333,0.5,0.6333333333333333,0.82,0.8333333333333334,1.6333333333333335,2.4666666666666663,1.4,0.4333333333333333,0.06666666666666668,0.9333333333333332,1.7333333333333334,4.366666666666666,1.5333333333333332
279,Dean Garrett,66.33333333333333,55.33333333333334,26.03333333333333,2.9,5.7666666666666675,0.501,0.0,0.0,0.0,2.9,5.7666666666666675,0.501,0.501,1.2,1.7,0.6963333333333334,2.333333333333333,4.466666666666666,6.8,0.7666666666666667,0.6333333333333333,1.3,0.7000000000000001,2.333333333333333,6.933333333333334,0.6666666666666666
280,Tom Garrick,70.33333333333333,14.0,19.633333333333336,2.2666666666666666,4.8,0.4693333333333333,0.03333333333333333,0.26666666666666666,0.06333333333333334,2.2666666666666666,4.533333333333334,0.4953333333333334,0.471,1.1666666666666663,1.5333333333333334,0.778,0.5333333333333333,1.6,2.1,3.5666666666666664,1.0666666666666669,0.06666666666666668,1.4,1.8666666666666665,5.7666666666666675,1.1333333333333333
281,Pat Garrity,65.66666666666667,3.6666666666666665,17.533333333333335,2.733333333333334,6.366666666666667,0.4426666666666667,0.8333333333333334,1.9333333333333331,0.4076666666666667,1.9666666666666668,4.4,0.444,0.5003333333333333,1.0333333333333334,1.3666666666666665,0.7673333333333333,0.6333333333333333,1.8,2.433333333333333,0.6333333333333333,0.3666666666666667,0.16666666666666666,0.7999999999999999,2.4,7.366666666666667,3.7
282,Chris Gatling,68.66666666666667,11.666666666666664,14.966666666666667,3.0333333333333337,5.333333333333333,0.565,0.0,0.06666666666666668,0.0,3.0333333333333337,5.266666666666667,0.5713333333333334,0.565,1.6666666666666667,2.5,0.6686666666666667,1.6333333333333335,2.6,4.266666666666667,0.4666666666666666,0.5666666666666667,0.7666666666666666,1.1,2.4666666666666663,7.7333333333333325,4.566666666666666
283,Alonzo Gee,24.0,12.0,13.366666666666667,1.6333333333333335,3.566666666666667,0.42200000000000004,0.3,0.5666666666666668,0.37033333333333335,1.3333333333333333,2.966666666666667,0.4136666666666666,0.4526666666666666,0.9666666666666668,1.4,0.468,0.9666666666666668,1.3,2.3,0.4333333333333333,0.4333333333333333,0.26666666666666666,0.8333333333333334,1.1666666666666667,4.566666666666666,0.9666666666666668
284,Matt Geiger,64.66666666666667,15.0,17.099999999999998,2.6333333333333333,4.833333333333333,0.5446666666666666,0.03333333333333333,0.10000000000000002,0.20000000000000004,2.6333333333333333,4.7,0.5523333333333333,0.5463333333333333,1.4,1.9666666666666668,0.7010000000000001,1.5666666666666669,2.5666666666666664,4.1000000000000005,0.4666666666666666,0.4666666666666666,0.5,1.0333333333333334,2.9,6.666666666666668,3.733333333333333
285,Devean George,63.33333333333334,1.0,12.866666666666667,1.6000000000000003,4.266666666666667,0.3696666666666665,0.4666666666666666,1.4666666666666668,0.3106666666666667,1.1333333333333335,2.8666666666666667,0.399,0.42100000000000004,0.7666666666666666,1.0666666666666669,0.6809999999999999,0.7333333333333334,1.6333333333333335,2.3666666666666667,0.6333333333333333,0.4666666666666666,0.3,0.6,1.6333333333333335,4.466666666666667,2.3000000000000003
287,Daniel Gibson,64.33333333333333,14.0,23.6,2.6,6.3,0.4156666666666666,1.4333333333333331,3.5,0.4136666666666667,1.1666666666666667,2.833333333333333,0.4176666666666667,0.5296666666666666,0.9666666666666668,1.2,0.765,0.4666666666666666,1.5333333333333334,1.9666666666666668,1.8333333333333333,0.6000000000000001,0.16666666666666666,0.9333333333333332,2.2,7.6,2.1
